id,program,title,link,upvotes,bounty,vuln_type,date
21064,Phabricator,Back - Refresh - Attack To  Obtain User Credentials,hackerone.com/reports/21064,3,0.0,Information Disclosure,2014-07-23
21069,Mavenlink,Login CSRF,hackerone.com/reports/21069,4,0.0,Cross-Site Request Forgery (CSRF),2014-07-31
21083,HackerOne,Account Hijacking (Only rare case scenario),hackerone.com/reports/21083,4,0.0,Improper Authentication - Generic,2014-08-23
21110,Mavenlink,Clickjacking,hackerone.com/reports/21110,2,0.0,UI Redressing (Clickjacking),2014-08-21
21150,Mavenlink,Flash XSS  on swfupload.swf showing at app.mavenlink.com,hackerone.com/reports/21150,4,0.0,Cross-site Scripting (XSS) - Generic,2014-07-24
21172,Mavenlink,Cookies are not cleared from Server side on Logout,hackerone.com/reports/21172,4,0.0,,2017-05-09
21210,Mavenlink,privilege escalation,hackerone.com/reports/21210,3,0.0,Privilege Escalation,2014-08-05
21248,Slack,Content spoofing at Stripe Integrations,hackerone.com/reports/21248,2,100.0,Violation of Secure Design Principles,2014-08-25
21603,IRCCloud,Bruteforce protection not enabled on the login page https://www.irccloud.com/,hackerone.com/reports/21603,5,0.0,Cryptographic Issues - Generic,2014-10-08
22012,X / xAI,Password reset link not validated.,hackerone.com/reports/22012,4,0.0,Uncontrolled Resource Consumption,2014-08-31
22093,Slack,Content Spoofing all Integrations in https://team.slack.com/services/new/,hackerone.com/reports/22093,4,200.0,Violation of Secure Design Principles,2014-09-03
22142,Automattic,Open Redirect in WordPress Feed Statistics {Affected All Versions},hackerone.com/reports/22142,1,0.0,Open Redirect,2014-08-07
22203,X / xAI,Broken authentication and invalidated email address leads to account takeover,hackerone.com/reports/22203,9,0.0,Cryptographic Issues - Generic,2014-11-28
22858,Phabricator,Password Reset Links Not Expiring,hackerone.com/reports/22858,4,0.0,Improper Authentication - Generic,2014-09-06
23010,Uzbey,XSS in 3rd party plugin (not affecting Uzbey's users),hackerone.com/reports/23010,3,0.0,Cross-site Scripting (XSS) - Generic,2014-11-02
23014,Uzbey,SQL Injection,hackerone.com/reports/23014,4,0.0,SQL Injection,2014-11-02
23363,Phabricator,Forgot Password Issue,hackerone.com/reports/23363,8,0.0,Improper Authentication - Generic,2014-09-10
23386,HackerOne,Redirect while opening links in new tabs,hackerone.com/reports/23386,8,500.0,Open Redirect,2014-09-12
23579,Secret,Broken Authentication and Session Management,hackerone.com/reports/23579,11,0.0,Improper Authentication - Generic,2014-11-17
23913,X / xAI,User's DM won't deleted after logout from Twitter for iOS (com.atebits.xxx.application-state),hackerone.com/reports/23913,3,0.0,,2015-02-25
23921,Concrete CMS,broken authentication,hackerone.com/reports/23921,6,0.0,Improper Authentication - Generic,2014-09-21
24984,Greenhouse.io,openssh-server Forced Command Handling Information Disclosure Vulnerability on blog.greenhouse.io,hackerone.com/reports/24984,0,0.0,Information Disclosure,2014-10-10
25128,X / xAI,HTML form without CSRF protection at http://try.crashlytics.com/enterprise/,hackerone.com/reports/25128,0,0.0,Cross-Site Request Forgery (CSRF),2014-10-02
25160,Phabricator,Open redirection on secure.phabricator.com,hackerone.com/reports/25160,2,0.0,Open Redirect,2014-09-17
25191,Greenhouse.io,SMTP protection not used (please read carefully ),hackerone.com/reports/25191,2,0.0,Improper Authentication - Generic,2014-12-07
25275,Greenhouse.io,[greenhouse.io] CRLF Injection / Insecure nginx configuration,hackerone.com/reports/25275,8,0.0,,2016-11-02
25281,HackerOne,Change Any username and profile link in hackerone,hackerone.com/reports/25281,9,100.0,Privilege Escalation,2014-09-25
25537,Internet Bug Bounty,external entity expansion in Apache POI ,hackerone.com/reports/25537,3,0.0,Information Disclosure,2019-10-14
26181,Mavenlink,DNS load balancing not enabled,hackerone.com/reports/26181,2,0.0,Violation of Secure Design Principles,2015-03-25
26395,HackerOne,Notification of previous signed out user leakage.,hackerone.com/reports/26395,2,0.0,Information Disclosure,2014-09-01
26482,ExpressionEngine,Stored Cross-Site Scripting Vulnerability in /admin.php?/cp/admin_system/general_configuration,hackerone.com/reports/26482,1,0.0,Cross-site Scripting (XSS) - Generic,2014-11-17
26647,Django,CSRF protection bypass on any Django powered site via Google Analytics,hackerone.com/reports/26647,70,0.0,,2016-09-26
26758,Phabricator,Password Policy issue,hackerone.com/reports/26758,3,0.0,Violation of Secure Design Principles,2014-10-02
26763,Slack,HTTP Strict Transport Policy not enabled on newly made accounts,hackerone.com/reports/26763,2,0.0,Violation of Secure Design Principles,2014-10-03
26825,X / xAI,Full path disclosure at ads.twitter.com,hackerone.com/reports/26825,2,140.0,Information Disclosure,2014-11-17
26962,Internet Bug Bounty,open redirect in rfc6749,hackerone.com/reports/26962,6,3000.0,Open Redirect,2015-04-06
27166,X / xAI,Missing Rate Limiting on https://twitter.com/account/complete,hackerone.com/reports/27166,1,0.0,Information Disclosure,2014-11-10
27404,X / xAI,Delete Credit Cards from any Twitter Account in ads.twitter.com [New Vulnerability],hackerone.com/reports/27404,6,0.0,Improper Authentication - Generic,2014-09-30
27511,X / xAI,ads.twitter.com xss,hackerone.com/reports/27511,4,0.0,Cross-site Scripting (XSS) - Generic,2014-11-17
27564,Phabricator,Content spoofing,hackerone.com/reports/27564,3,0.0,Cross-site Scripting (XSS) - Generic,2014-09-11
27594,GlassWire,Clickjacking: X-Frame-Options header missing,hackerone.com/reports/27594,1,0.0,UI Redressing (Clickjacking),2014-10-12
27651,Internet Bug Bounty,Flash Local Sandbox Bypass,hackerone.com/reports/27651,5,0.0,Information Disclosure,2014-10-07
27846,X / xAI,Stored xss,hackerone.com/reports/27846,4,0.0,Cross-site Scripting (XSS) - Generic,2014-09-27
27987,HackerOne,Window Opener Property Bug,hackerone.com/reports/27987,4,0.0,,2014-10-28
28150,X / xAI,Cross site scripting on ads.twitter.com,hackerone.com/reports/28150,7,0.0,Cross-site Scripting (XSS) - Generic,2014-10-16
28445,Internet Bug Bounty,SPL ArrayObject/SPLObjectStorage Unserialization Type Confusion Vulnerabilities,hackerone.com/reports/28445,1,0.0,,2014-07-04
28449,Ruby on Rails,Active Record SQL Injection Vulnerability Affecting PostgreSQL,hackerone.com/reports/28449,2,0.0,,2014-07-02
28450,Ruby on Rails,Active Record SQL Injection Vulnerability Affecting PostgreSQL,hackerone.com/reports/28450,2,0.0,,2014-07-02
28500,X / xAI,iOS App can establish Facetime calls without user's permission,hackerone.com/reports/28500,4,0.0,Cross-Site Request Forgery (CSRF),2015-04-27
28632,Mavenlink,Email field filtering problem.,hackerone.com/reports/28632,4,0.0,Improper Authentication - Generic,2014-11-17
28640,Internet Bug Bounty,Ericsson Erlang OTP Core Allocation Subsystem Integer Overflow (All Versions),hackerone.com/reports/28640,2,0.0,Memory Corruption - Generic,2019-11-12
28703,IRCCloud,Weak password policy,hackerone.com/reports/28703,4,0.0,Improper Authentication - Generic,2014-11-27
28792,Phabricator,Content Spoofing through URL,hackerone.com/reports/28792,5,0.0,Violation of Secure Design Principles,2014-09-20
28865,HackerOne,Redirect FILTER bypass in report/comment,hackerone.com/reports/28865,6,500.0,Open Redirect,2014-10-19
29185,HackerOne,"""early preview"" programs disclosure",hackerone.com/reports/29185,9,0.0,Information Disclosure,2015-01-21
29206,X / xAI,Twitter Flight SSL 2.0 deprecated protocol vulnerability.,hackerone.com/reports/29206,1,0.0,Cryptographic Issues - Generic,2014-10-07
29234,Coinbase,Credit Card Validation Issue,hackerone.com/reports/29234,2,0.0,,2015-03-12
29328,X / xAI,XSS platform.twitter.com,hackerone.com/reports/29328,3,0.0,Cross-site Scripting (XSS) - Generic,2014-11-17
29331,HackerOne,No email verification on username change,hackerone.com/reports/29331,11,500.0,Information Disclosure,2014-11-17
29360,X / xAI,XSS platform.twitter.com | video-js metadata,hackerone.com/reports/29360,1,0.0,Cross-site Scripting (XSS) - Generic,2014-11-17
29480,IRCCloud,Unvalidated Channel names causes IRC Command Injection,hackerone.com/reports/29480,1,300.0,Cross-Site Request Forgery (CSRF),2014-10-01
29491,HackerOne,homograph attack. IDNs displayed in unicode in bug reports and on external link warning page,hackerone.com/reports/29491,12,500.0,Violation of Secure Design Principles,2014-10-09
29835,X / xAI,Profile Pic padding (Length-hiding) fails due to use of GZIP,hackerone.com/reports/29835,7,280.0,Information Disclosure,2016-03-18
29839,Internet Bug Bounty,GNU Bourne-Again Shell (Bash) 'Shellshock' Vulnerability,hackerone.com/reports/29839,19,0.0,,2014-10-01
30019,Concrete CMS,Stored XSS in concrete5 5.7.0.4.,hackerone.com/reports/30019,3,0.0,Cross-site Scripting (XSS) - Generic,2015-03-11
30238,Coinbase,New Device confirmation tokens are not properly validated.,hackerone.com/reports/30238,5,100.0,Improper Authentication - Generic,2015-05-25
30567,Internet Bug Bounty,Adobe Flash Player MP4 Use-After-Free Vulnerability,hackerone.com/reports/30567,3,2000.0,Memory Corruption - Generic,2015-03-11
30575,Bookfresh,Missing Function Level Access Control in /cindex.php/widget/customize/,hackerone.com/reports/30575,3,0.0,Violation of Secure Design Principles,2016-03-23
30787,Localize,PHP reveals potentially sensitive information via certain HTTP requests that contain specific QUERY strings.,hackerone.com/reports/30787,2,0.0,,2015-02-17
30852,RelateIQ,Relateiq SSLv3 deprecated protocol vulnerability.,hackerone.com/reports/30852,3,0.0,Cryptographic Issues - Generic,2014-12-24
30975,X / xAI,Improper Verification of email address while saving Account Settings,hackerone.com/reports/30975,6,560.0,Violation of Secure Design Principles,2015-08-13
31023,Khan Academy,Sql injection And XSS,hackerone.com/reports/31023,4,0.0,Cross-site Scripting (XSS) - Generic,2015-12-08
31082,X / xAI,Unauthorized Tweeting on behalf of Account Owners,hackerone.com/reports/31082,2,420.0,Violation of Secure Design Principles,2015-05-07
31166,joola.io,Weak Random Number Generator for Auth Tokens,hackerone.com/reports/31166,3,0.0,Cryptographic Issues - Generic,2014-10-25
31167,joola.io,Timing Attack Side-Channel on API Token Verification,hackerone.com/reports/31167,4,0.0,Cryptographic Issues - Generic,2014-10-25
31168,WP API,Cryptographic Side Channel in OAuth Library,hackerone.com/reports/31168,4,0.0,Cryptographic Issues - Generic,2014-10-29
31171,Concrete CMS,Weak random number generator used in concrete/authentication/concrete/controller.php,hackerone.com/reports/31171,2,0.0,Cryptographic Issues - Generic,2014-10-26
31187,Bookfresh,Reflected XSS on www.bookfresh.com/index.html?view=upload_form,hackerone.com/reports/31187,5,0.0,Cross-site Scripting (XSS) - Generic,2017-08-31
31188,X / xAI,Creating Unauthorized Audience Lists,hackerone.com/reports/31188,2,0.0,Violation of Secure Design Principles,2014-11-28
31255,Localize,files likes of README.md is public,hackerone.com/reports/31255,2,0.0,Information Disclosure,2015-02-17
31383,HackerOne,Ability to see common response titles of other teams (limited),hackerone.com/reports/31383,8,0.0,Information Disclosure,2014-10-15
31408,Internet Bug Bounty,Adobe Flash Player Out-of-Bound Read/Write Vulnerability,hackerone.com/reports/31408,2,5000.0,Memory Corruption - Generic,2015-03-11
31415,RelateIQ,PoodleBleed,hackerone.com/reports/31415,4,0.0,Cryptographic Issues - Generic,2015-08-13
